year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Paddy,1260,2185
2017-2018,Rabi,Warangal (Urban),Velair,Paddy,424,957
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Paddy,2164,2865
2017-2018,Rabi,Warangal (Urban),Kamalapur,Paddy,2479,3608
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Paddy,2222,3633
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Paddy,930,1671
2017-2018,Rabi,Warangal (Urban),Khazipet,Paddy,693,783
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Paddy,194,248
2017-2018,Rabi,Warangal (Urban),Warangal,Paddy,92,56
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Paddy,187,257
2017-2018,Rabi,Warangal (Urban),Inole,Paddy,582,1883
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Maize,1844,2650
2017-2018,Rabi,Warangal (Urban),Velair,Maize,1146,1354
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Maize,2098,2242
2017-2018,Rabi,Warangal (Urban),Kamalapur,Maize,1106,1262
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Maize,1148,1282
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Maize,1639,2662
2017-2018,Rabi,Warangal (Urban),Khazipet,Maize,537,420
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Maize,21,24
2017-2018,Rabi,Warangal (Urban),Warangal,Maize,75,28
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Maize,281,231
2017-2018,Rabi,Warangal (Urban),Inole,Maize,809,1493
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Green Gram,7,12
2017-2018,Rabi,Warangal (Urban),Velair,Green Gram,0,9
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Green Gram,8,5
2017-2018,Rabi,Warangal (Urban),Kamalapur,Green Gram,13,8
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Green Gram,10,0
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Green Gram,0,26
2017-2018,Rabi,Warangal (Urban),Khazipet,Green Gram,4,0
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Green Gram,0,0
2017-2018,Rabi,Warangal (Urban),Warangal,Green Gram,1,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Green Gram,1,0
2017-2018,Rabi,Warangal (Urban),Inole,Green Gram,3,21
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Black Gram,4,0
2017-2018,Rabi,Warangal (Urban),Velair,Black Gram,0,4
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Black Gram,21,0
2017-2018,Rabi,Warangal (Urban),Kamalapur,Black Gram,10,5
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Black Gram,0,2
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Black Gram,0,0
2017-2018,Rabi,Warangal (Urban),Khazipet,Black Gram,0,1
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Black Gram,0,0
2017-2018,Rabi,Warangal (Urban),Warangal,Black Gram,0,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Black Gram,0,0
2017-2018,Rabi,Warangal (Urban),Inole,Black Gram,15,54
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Bengal Gram,15,53
2017-2018,Rabi,Warangal (Urban),Velair,Bengal Gram,4,8
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Bengal Gram,31,26
2017-2018,Rabi,Warangal (Urban),Kamalapur,Bengal Gram,29,143
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Bengal Gram,4,9
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Bengal Gram,6,12
2017-2018,Rabi,Warangal (Urban),Khazipet,Bengal Gram,4,2
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Bengal Gram,0,0
2017-2018,Rabi,Warangal (Urban),Warangal,Bengal Gram,1,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Bengal Gram,1,0
2017-2018,Rabi,Warangal (Urban),Inole,Bengal Gram,11,13
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Cow Gram,23,5
2017-2018,Rabi,Warangal (Urban),Velair,Cow Gram,18,2
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Cow Gram,22,14
2017-2018,Rabi,Warangal (Urban),Kamalapur,Cow Gram,29,0
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Cow Gram,0,5
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Cow Gram,13,27
2017-2018,Rabi,Warangal (Urban),Khazipet,Cow Gram,3,0
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Cow Gram,0,0
2017-2018,Rabi,Warangal (Urban),Warangal,Cow Gram,1,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Cow Gram,1,1
2017-2018,Rabi,Warangal (Urban),Inole,Cow Gram,9,0
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Velair,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Kamalapur,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Khazipet,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Warangal,Chillies,1,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Chillies,0,0
2017-2018,Rabi,Warangal (Urban),Inole,Chillies,32,0
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Groundnut,188,127
2017-2018,Rabi,Warangal (Urban),Velair,Groundnut,66,64
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Groundnut,84,68
2017-2018,Rabi,Warangal (Urban),Kamalapur,Groundnut,39,84
2017-2018,Rabi,Warangal (Urban),Hasanparthy,Groundnut,119,19
2017-2018,Rabi,Warangal (Urban),Dharmasagar,Groundnut,60,80
2017-2018,Rabi,Warangal (Urban),Khazipet,Groundnut,57,8
2017-2018,Rabi,Warangal (Urban),Hanamkonda,Groundnut,2,0
2017-2018,Rabi,Warangal (Urban),Warangal,Groundnut,8,0
2017-2018,Rabi,Warangal (Urban),Khilla_warangal,Groundnut,9,0
2017-2018,Rabi,Warangal (Urban),Inole,Groundnut,61,44
2017-2018,Rabi,Warangal (Urban),Bheemadevarapalle,Total,3341,5032
2017-2018,Rabi,Warangal (Urban),Velair,Total,1658,2398
2017-2018,Rabi,Warangal (Urban),Elkathurthi,Total,4428,5220
